+--------------------------------+----------------------+-----------------+----------------+------------------+---------+-----------+
| c_last_name                    | c_first_name         | ca_city         | bought_city    | ss_ticket_number | amt     | profit    |
| Abner                          | Russell              | River Oaks      | Woodville      | 2052866          | 1245.25 | -437.64   |
| Abney                          | Anthony              | Fairfield       | Point Pleasant | 367607           | 3520.06 | -7322.66  |
| Abney                          | Carolyn              | Red Bank        | Lebanon        | 1461227          | 681.90  | -22028.52 |
| Abney                          | George               | Mount Vernon    | Woodland       | 732862           | 0.00    | -10768.88 |
| Abney                          | Louis                | Sunnyside       | Spring Hill    | 763382           | 5345.19 | -22181.77 |
| Abraham                        | Anita                | Shady Grove     | Ashland        | 141384           | 2507.49 | -18309.17 |
| Abraham                        | Fredrick             | Maple Grove     | Union          | 1297825          | 165.21  | -14576.27 |
| Abraham                        | Glenn                | Highland        | Greenwood      | 677381           | 0.00    | -11891.17 |
| Abraham                        | Glenn                | Highland        | Lincoln        | 1911746          | 57.79   | -3830.94  |
| Abraham                        | Jerry                | Oakwood         | Price          | 1409721          | 0.00    | -1556.23  |
| Abraham                        | Michael              | Woodville       | Oakland        | 232898           | 112.42  | -10340.65 |
| Abraham                        | Yvonne               | Riverview       | Newport        | 1906633          | 4135.45 | -12957.38 |
| Abraham                        | NULL                 | Lincoln         | Fairfield      | 449702           | 3017.68 | -7536.03  |
| Abrams                         | Amy                  | Highland        | Burns          | 300219           | 2851.50 | -20798.25 |
| Abrams                         | Bryan                | Antioch         | Belmont        | 88291            | 2754.74 | -17325.12 |
| Abrams                         | Charles              | Bethel          | Walnut Grove   | 1372425          | 2657.83 | -5012.52  |
| Abrams                         | Charles              | Farmington      | Weldon         | 2152189          | 6596.21 | -12571.68 |
| Abrams                         | Marcia               | Macedonia       | Greenville     | 1962553          | 1241.69 | -14634.68 |
| Abrams                         | Margaret             | Bridgeport      | Florence       | 1906700          | 3100.33 | -8218.27  |
| Abrams                         | Patricia             | Shady Grove     | Antioch        | 242835           | 36.56   | -7236.60  |
| Abrams                         | Philip               | Pine Grove      | Forest Hills   | 606173           | 49.02   | -7644.85  |
| Abrams                         | Samuel               | Ashland         | Salem          | 16118            | 5505.85 | -15729.62 |
| Abreu                          | Duane                | Clinton         | Plainview      | 515965           | 1162.83 | -19992.89 |
| Abreu                          | Edward               | Antioch         | Oak Hill       | 1867245          | 2683.26 | -13182.05 |
| Abreu                          | Elizabeth            | Hamilton        | Antioch        | 2083315          | 1506.74 | -10338.61 |
| Abreu                          | John                 | Woodland        | Mount Pleasant | 1605522          | 1667.62 | -2430.98  |
| Abreu                          | Mabel                | Arlington       | Woodlawn       | 2030784          | 1559.62 | -5193.28  |
| Acevedo                        | Donald               | Shady Grove     | Kingston       | 845866           | 680.95  | -9354.65  |
| Acevedo                        | Dorothy              | Harvey          | Shady Grove    | 359059           | 293.47  | -3884.02  |
| Acevedo                        | Janelle              | Red Hill        | Oak Hill       | 2290838          | 1796.04 | -13597.24 |
| Acevedo                        | Josie                | Pine Grove      | Marion         | 1957398          | 1503.58 | -15402.65 |
| Acevedo                        | Kenneth              | Newtown         | Liberty        | 2038178          | 3914.02 | -7209.73  |
| Acevedo                        | Marie                | Friendship      | Concord        | 1852721          | 4545.50 | -11113.46 |
| Acevedo                        | Micheal              | Springhill      | Farmington     | 195052           | 0.00    | 695.41    |
| Acevedo                        | Patrice              | Bridgeport      | Mount Vernon   | 249265           | 2275.24 | -9477.56  |
| Acevedo                        | Phillip              | Five Forks      | Union Hill     | 1720801          | 741.13  | 522.52    |
| Acevedo                        | Richard              | Bunker Hill     | Friendship     | 797860           | 2795.73 | -8037.17  |
| Acevedo                        | Russell              | Mount Vernon    | Five Forks     | 1127609          | 115.34  | -10262.27 |
| Acevedo                        | Sharon               | Newport         | Marion         | 142240           | 1984.45 | -15255.19 |
| Acevedo                        | Thomas               | Sulphur Springs | Highland Park  | 1306925          | 2267.80 | -11004.34 |
| Acevedo                        | William              | Spring Hill     | Antioch        | 8903             | 427.76  | -12883.91 |
| Acker                          | Brian                | Mount Olive     | Colfax         | 36959            | 1295.57 | -10427.33 |
| Acker                          | Dorothy              | Wyoming         | Stringtown     | 1904246          | 175.14  | -9519.36  |
| Acker                          | Jonathan             | Cedar Grove     | Oakdale        | 1091675          | 1267.86 | -17172.19 |
| Acker                          | Steven               | Unionville      | Belleview      | 1923979          | 2321.37 | -15240.19 |
| Ackerman                       | Abraham              | Red Hill        | Langdon        | 899872           | 61.07   | -5634.19  |
| Ackerman                       | Brian                | Buckingham      | Friendship     | 767589           | 3449.63 | -6253.92  |
| Ackerman                       | Clinton              | Georgetown      | Maple Grove    | 1990997          | 2732.16 | -17638.68 |
+--------------------------------+----------------------+-----------------+----------------+------------------+---------+-----------+
