+--------------------------------+----------------------+-----------------+------------------+------------------+----------------+--------------+------------+
| c_last_name                    | c_first_name         | ca_city         | bought_city      | ss_ticket_number | extended_price | extended_tax | list_price |
| Acker                          | Jon                  | Stringtown      | Kingston         | 339124           | 29272.30       | 1588.65      | 58266.31   |
| Acker                          | Doris                | Oakdale         | Pleasant Valley  | 2101434          | 10761.36       | 167.18       | 28538.33   |
| Acker                          | Steven               | Glendale        | Shiloh           | 3156038          | 24645.22       | 720.21       | 48751.98   |
| Acker                          | Stephanie            | Canton          | Farmington       | 10054691         | 22898.39       | 972.32       | 44885.88   |
| Acker                          | Kathy                | Wildwood        | Crossroads       | 10196355         | 16694.95       | 887.41       | 46423.01   |
| Ackerman                       | John                 | Five Forks      | Elba             | 4068801          | 26944.39       | 1645.89      | 45614.21   |
| Ackley                         | John                 | Murphy          | Plainview        | 3076806          | 21586.06       | 727.39       | 29236.21   |
| Ackley                         | Brandee              | Buckingham      | Unionville       | 6451515          | 19990.12       | 718.50       | 40403.53   |
| Ackley                         | Mack                 | Bridgeport      | Bunker Hill      | 10919481         | 13662.31       | 684.27       | 23536.01   |
| Acosta                         | Tammy                | Spring Valley   | Fairview         | 1748416          | 17499.55       | 385.85       | 33238.38   |
| Acosta                         | Robert               | Riverview       | Oakland          | 3049235          | 15523.01       | 614.76       | 38219.26   |
| Acosta                         | Paul                 | Oak Ridge       | Brownsville      | 5010450          | 19963.98       | 1110.29      | 50765.28   |
| Acosta                         | Sadie                | Five Points     | Enterprise       | 5415305          | 4461.90        | 136.76       | 18526.92   |
| Acosta                         | Ruby                 | Spring Hill     | Jamestown        | 6064606          | 14108.73       | 819.46       | 30833.85   |
| Acosta                         | Jacqueline           | Salem           | Lebanon          | 8161717          | 20980.02       | 863.05       | 55415.22   |
| Acosta                         | Sophie               | Pine Grove      | Woodland Park    | 9531189          | 28325.51       | 1417.66      | 55950.25   |
| Acosta                         | Lourdes              | Lee             | Stringtown       | 11560937         | 7977.75        | 484.13       | 17062.19   |
| Adair                          | Juan                 | Clearview       | Sulphur Springs  | 2582529          | 12813.48       | 733.79       | 41971.75   |
| Adair                          | Ashley               | Hamilton        | Newtown          | 4311865          | 14468.77       | 513.26       | 38738.61   |
| Adair                          | Lisa                 | Farmington      | Bethel           | 10413262         | 23309.51       | 1035.41      | 54187.05   |
| Adam                           | Vance                | Greenville      | Shiloh           | 2780202          | 30465.94       | 1447.82      | 50720.47   |
| Adam                           | Gregory              | Kingston        | Riverdale        | 5430166          | 27868.13       | 1477.67      | 47637.81   |
| Adam                           | Jeanette             | Lakeside        | Crossroads       | 5791725          | 18865.67       | 618.07       | 34076.33   |
| Adam                           | Theodore             | Woodlawn        | Green Acres      | 7077088          | 23187.27       | 709.76       | 40767.82   |
| Adam                           | Gerald               | Springdale      | Brownsville      | 9181085          | 20121.44       | 721.14       | 39386.66   |
| Adame                          | Rita                 | Lebanon         | Saint Johns      | 2110142          | 24272.80       | 977.24       | 40848.52   |
| Adame                          | Robert               | Maple Grove     | Acme             | 8827291          | 22346.97       | 1232.78      | 36221.93   |
| Adame                          | Susan                | Oakland         | Bunker Hill      | 10455152         | 14247.06       | 487.95       | 38317.84   |
| Adame                          | Gerardo              | Valley View     | Roscoe           | 10529323         | 26864.17       | 1328.81      | 54984.05   |
| Adams                          | Eleanor              | Oak Hill        | Lakewood         | 471254           | 14407.32       | 302.30       | 32047.82   |
| Adams                          | Hulda                | Spring Valley   | Mount Olive      | 813335           | 24318.48       | 786.45       | 48466.56   |
| Adams                          | Sharon               | Bridgeport      | Clifton          | 836055           | 33091.78       | 1689.66      | 42221.91   |
| Adams                          | Ryan                 | Greenwood       | Newtown          | 883084           | 31733.76       | 1149.83      | 38645.29   |
| Adams                          | Jennifer             | Springfield     | Bunker Hill      | 1047497          | 25091.23       | 878.11       | 44587.11   |
| Adams                          | Dayna                | Peru            | Richardson       | 1240059          | 7307.24        | 326.89       | 20195.82   |
| Adams                          | Sean                 | Plainview       | Harmony          | 1362141          | 29594.07       | 1483.25      | 48264.12   |
| Adams                          | Barbara              | Highland Park   | Belmont          | 1446632          | 10391.43       | 587.30       | 23474.44   |
| Adams                          | Larry                | Farmington      | Marion           | 1508128          | 30039.81       | 881.54       | 48118.08   |
| Adams                          | Adam                 | Plainview       | Nichols          | 1516787          | 23121.43       | 1133.86      | 44253.06   |
| Adams                          | Daniela              | Montague        | Lakeside         | 1522639          | 19926.63       | 486.83       | 32040.04   |
+--------------------------------+----------------------+-----------------+------------------+------------------+----------------+--------------+------------+
