+--------------------------------+----------------------+-----------------+-----------------+------------------+----------+-----------+
| c_last_name                    | c_first_name         | ca_city         | bought_city     | ss_ticket_number | amt      | profit    |
| Abbott                         | Donald               | Oak Ridge       | Macedonia       | 2306658          | 948.09   | -15273.35 |
| Abbott                         | Donald               | Sawyer          | Pleasant Valley | 2405409          | 1150.61  | -11539.32 |
| Abbott                         | Elizabeth            | White Oak       | Riverview       | 5149074          | 400.45   | -3802.31  |
| Abbott                         | Frederick            | Green Acres     | Pleasant Valley | 5113217          | 2039.19  | -15814.19 |
| Abbott                         | Garry                | Mount Pleasant  | Wilson          | 4607969          | 4.25     | -10067.83 |
| Abbott                         | Geneva               | Louisville      | Highland Park   | 585476           | 548.91   | -17392.28 |
| Abbott                         | Grace                | Forest Hills    | Mount Pleasant  | 1093414          | 0.00     | -6953.56  |
| Abbott                         | Harriet              | Wesley          | Newtown         | 893510           | 6715.42  | -8339.31  |
| Abbott                         | Heath                | Wilson          | Harmon          | 1953254          | 13893.68 | -15689.35 |
| Abbott                         | Inez                 | Cedar Grove     | Glenwood        | 3801820          | 6125.91  | -10647.60 |
| Abbott                         | Inez                 | Cedar Grove     | Pine Grove      | 2753466          | 902.72   | -17875.51 |
| Abbott                         | James                | Pleasant Valley | Avery           | 1300847          | 2002.75  | -6206.80  |
| Abbott                         | James                | Riverview       | Clifton         | 2930890          | 251.41   | -9323.83  |
| Abbott                         | James                | Riverview       | Glendale        | 1305419          | 2294.47  | -7813.55  |
| Abbott                         | Jeffrey              | Pine Grove      | Springfield     | 4745029          | 1338.34  | -10292.41 |
| Abbott                         | Jeremy               | Belmont         | Forest Hills    | 1701060          | 3348.55  | 4463.31   |
| Abbott                         | Karen                | Pleasant Hill   | Five Forks      | 2049812          | 8928.57  | -16697.65 |
| Abbott                         | Karen                | Pleasant Hill   | New Hope        | 3085907          | 2916.90  | -9070.17  |
| Abbott                         | Kathleen             | Highland        | Springdale      | 393762           | 0.00     | -1031.80  |
+--------------------------------+----------------------+-----------------+-----------------+------------------+----------+-----------+
